year,source,metric,value_tonnes
1598,castaneda_2013,stock_upper,2014.8
1599,castaneda_2013,production_tonnes,7.38
1599,castaneda_2013,stock_lower,1756.22
1599,castaneda_2013,stock_upper,2022.2
1600,castaneda_2013,production_tonnes,7.38
1600,castaneda_2013,stock_lower,1763.6
1600,castaneda_2013,stock_upper,2029.6
1601,castaneda_2013,production_tonnes,8.52
1601,castaneda_2013,stock_lower,1772.12
1601,castaneda_2013,stock_upper,2038.1
1602,castaneda_2013,production_tonnes,8.52
1602,castaneda_2013,stock_lower,1780.64
1602,castaneda_2013,stock_upper,2046.6
1603,castaneda_2013,production_tonnes,8.52
1603,castaneda_2013,stock_lower,1789.16
1603,castaneda_2013,stock_upper,2055.2
1604,castaneda_2013,production_tonnes,8.52
1604,castaneda_2013,stock_lower,1797.68
1604,castaneda_2013,stock_upper,2063.7
1605,castaneda_2013,production_tonnes,8.52
1605,castaneda_2013,stock_lower,1806.2
1605,castaneda_2013,stock_upper,2072.2
1606,castaneda_2013,production_tonnes,8.52
1606,castaneda_2013,stock_lower,1814.72
1606,castaneda_2013,stock_upper,2080.7
1607,castaneda_2013,production_tonnes,8.52
1607,castaneda_2013,stock_lower,1823.24
1607,castaneda_2013,stock_upper,2089.2
1608,castaneda_2013,production_tonnes,8.52
1608,castaneda_2013,stock_lower,1831.76
1608,castaneda_2013,stock_upper,2097.8
1609,castaneda_2013,production_tonnes,8.52
1609,castaneda_2013,stock_lower,1840.28
1609,castaneda_2013,stock_upper,2106.3
1610,castaneda_2013,production_tonnes,8.52
1610,castaneda_2013,stock_lower,1848.8
1610,castaneda_2013,stock_upper,2114.8
1611,castaneda_2013,production_tonnes,8.52
1611,castaneda_2013,stock_lower,1857.32
1611,castaneda_2013,stock_upper,2123.3
1612,castaneda_2013,production_tonnes,8.52
1612,castaneda_2013,stock_lower,1865.84
1612,castaneda_2013,stock_upper,2131.8
1613,castaneda_2013,production_tonnes,8.52
1613,castaneda_2013,stock_lower,1874.36
1613,castaneda_2013,stock_upper,2140.4
1614,castaneda_2013,production_tonnes,8.52
1614,castaneda_2013,stock_lower,1882.88
1614,castaneda_2013,stock_upper,2148.9
1615,castaneda_2013,production_tonnes,8.52
1615,castaneda_2013,stock_lower,1891.4
1615,castaneda_2013,stock_upper,2157.4
1616,castaneda_2013,production_tonnes,8.52
1616,castaneda_2013,stock_lower,1899.92
1616,castaneda_2013,stock_upper,2165.9
1617,castaneda_2013,production_tonnes,8.52
1617,castaneda_2013,stock_lower,1908.44
1617,castaneda_2013,stock_upper,2174.4
1618,castaneda_2013,production_tonnes,8.52
1618,castaneda_2013,stock_lower,1916.96
1618,castaneda_2013,stock_upper,2183
