year,country,region,province,production_tonnes,source
1726,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1726,Brazil,Colonial Brazil,minas_gerais,70385,TePaske
1726,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1726,Mexico,New Spain,caja_guadaljara,224,TePaske
1726,Mexico,New Spain,caja_guanajuato,284,TePaske
1726,Mexico,New Spain,caja_mexico,306,TePaske
1726,Mexico,New Spain,caja_san luis potosi,1736,TePaske
1726,Mexico,New Spain,caja_zimapan,5,TePaske
1726,Peru,Viceroyalty of Peru,caja_carabaya,9,TePaske
1726,Peru,Viceroyalty of Peru,caja_cuzco,17,TePaske
1726,Peru,Viceroyalty of Peru,caja_la-paz,9,TePaske
1726,Peru,Viceroyalty of Peru,caja_oruro,292,TePaske
1726,Peru,Viceroyalty of Peru,caja_trujillo,5,TePaske
1726,brazil,South America,NA,103315,TePaske
1726,chile,South America,NA,254,TePaske
1726,ecuador,South America,NA,144,TePaske
1726,new-granada,South America,NA,8570,TePaske
1736,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1736,Brazil,Colonial Brazil,minas_gerais,105000,TePaske
1736,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1736,Mexico,New Spain,caja_guadaljara,370,TePaske
1736,Mexico,New Spain,caja_guanajuato,2182,TePaske
1736,Mexico,New Spain,caja_mexico,687,TePaske
1736,Mexico,New Spain,caja_pachuca,5,TePaske
1736,Mexico,New Spain,caja_san luis potosi,1561,TePaske
1736,Mexico,New Spain,caja_zacatecas,5,TePaske
1736,Mexico,New Spain,caja_zimapan,6,TePaske
1736,Peru,Viceroyalty of Peru,caja_chucuito,1,TePaske
1736,Peru,Viceroyalty of Peru,caja_cuzco,39,TePaske
1736,Peru,Viceroyalty of Peru,caja_oruro,243,TePaske
1736,Peru,Viceroyalty of Peru,caja_trujillo,3,TePaske
1736,brazil,South America,NA,137930,TePaske
1736,chile,South America,NA,426,TePaske
1736,ecuador,South America,NA,96,TePaske
1736,new-granada,South America,NA,10210,TePaske
1746,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1746,Brazil,Colonial Brazil,minas_gerais,112500,TePaske
1746,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1746,Mexico,New Spain,caja_durango,584,TePaske
1746,Mexico,New Spain,caja_guadaljara,404,TePaske
1746,Mexico,New Spain,caja_guanajuato,3911,TePaske
1746,Mexico,New Spain,caja_mexico,1001,TePaske
1746,Mexico,New Spain,caja_pachuca,52,TePaske
1746,Mexico,New Spain,caja_san luis potosi,1243,TePaske
1746,Mexico,New Spain,caja_zacatecas,7,TePaske
1746,Mexico,New Spain,caja_zimapan,209,TePaske
1746,Peru,Viceroyalty of Peru,caja_cuzco,1,TePaske
1746,Peru,Viceroyalty of Peru,caja_la-paz,1,TePaske
1746,Peru,Viceroyalty of Peru,caja_oruro,255,TePaske
1746,brazil,South America,NA,145430,TePaske
1746,chile,South America,NA,709,TePaske
1746,ecuador,South America,NA,48,TePaske
1746,new-granada,South America,NA,14793,TePaske
1756,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1756,Brazil,Colonial Brazil,minas_gerais,78750,TePaske
1756,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1756,Mexico,New Spain,caja_durango,2859,TePaske
1756,Mexico,New Spain,caja_guadaljara,605,TePaske
1756,Mexico,New Spain,caja_guanajuato,1136,TePaske
1756,Mexico,New Spain,caja_mexico,910,TePaske
1756,Mexico,New Spain,caja_pachuca,37,TePaske
1756,Mexico,New Spain,caja_san luis potosi,904,TePaske
1756,Mexico,New Spain,caja_zacatecas,18,TePaske
1756,Mexico,New Spain,caja_zimapan,1024,TePaske
1756,Peru,Viceroyalty of Peru,caja_la-paz,21,TePaske
1756,Peru,Viceroyalty of Peru,caja_oruro,170,TePaske
1756,brazil,South America,NA,111680,TePaske
1756,chile,South America,NA,1108,TePaske
1756,ecuador,South America,NA,2012,TePaske
1756,new-granada,South America,NA,17759,TePaske
1766,Brazil,Colonial Brazil,mato_grosso-goais,23780,TePaske
1766,Brazil,Colonial Brazil,minas_gerais,75000,TePaske
1766,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,9150,TePaske
1766,Mexico,New Spain,caja_durango,3529,TePaske
1766,Mexico,New Spain,caja_guadaljara,1675,TePaske
1766,Mexico,New Spain,caja_guanajuato,1695,TePaske
