year,country,production_tonnes,source
1676,caja_cuzco,11,TePaske_Peru
1676,caja_la-paz,4,TePaske_Peru
1686,caja_lima,1,TePaske_Peru
1686,caja_cuzco,109,TePaske_Peru
1686,caja_trujillo,105,TePaske_Peru
1686,caja_la-paz,38,TePaske_Peru
1686,caja_potosi,13,TePaske_Peru
1686,caja_carabaya,1,TePaske_Peru
1696,caja_lima,13,TePaske_Peru
1696,caja_cuzco,80,TePaske_Peru
1696,caja_trujillo,226,TePaske_Peru
1696,caja_la-paz,12,TePaske_Peru
1696,caja_potosi,7,TePaske_Peru
1696,caja_oruro,212,TePaske_Peru
1706,caja_lima,66,TePaske_Peru
1706,caja_cuzco,82,TePaske_Peru
1706,caja_trujillo,162,TePaske_Peru
1706,caja_la-paz,43,TePaske_Peru
1706,caja_potosi,25,TePaske_Peru
1706,caja_carabaya,8,TePaske_Peru
1706,caja_oruro,229,TePaske_Peru
1706,caja_chucuito,5,TePaske_Peru
1716,caja_cuzco,20,TePaske_Peru
1716,caja_trujillo,69,TePaske_Peru
1716,caja_la-paz,43,TePaske_Peru
1716,caja_potosi,14,TePaske_Peru
1716,caja_carabaya,8,TePaske_Peru
1716,caja_oruro,229,TePaske_Peru
1716,caja_chucuito,21,TePaske_Peru
1726,caja_cuzco,17,TePaske_Peru
1726,caja_trujillo,5,TePaske_Peru
1726,caja_la-paz,9,TePaske_Peru
1726,caja_carabaya,9,TePaske_Peru
1726,caja_oruro,292,TePaske_Peru
1736,caja_cuzco,39,TePaske_Peru
1736,caja_trujillo,3,TePaske_Peru
1736,caja_oruro,243,TePaske_Peru
1736,caja_chucuito,1,TePaske_Peru
1746,caja_cuzco,1,TePaske_Peru
1746,caja_la-paz,1,TePaske_Peru
1746,caja_oruro,255,TePaske_Peru
1756,caja_la-paz,21,TePaske_Peru
1756,caja_oruro,170,TePaske_Peru
1766,caja_lima,1217,TePaske_Peru
1766,caja_trujillo,14,TePaske_Peru
1766,caja_oruro,68,TePaske_Peru
1776,caja_lima,4252,TePaske_Peru
1776,caja_trujillo,729,TePaske_Peru
1776,caja_la-paz,685,TePaske_Peru
1776,caja_potosi,178,TePaske_Peru
1786,caja_lima,5904,TePaske_Peru
1786,caja_cuzco,2,TePaske_Peru
1786,caja_trujillo,2325,TePaske_Peru
1786,caja_la-paz,2944,TePaske_Peru
1786,caja_potosi,429,TePaske_Peru
1786,caja_arequipa,57,TePaske_Peru
1786,caja_arica,97,TePaske_Peru
1796,caja_lima,4611,TePaske_Peru
1796,caja_trujillo,5672,TePaske_Peru
1796,caja_la-paz,3506,TePaske_Peru
1796,caja_potosi,1674,TePaske_Peru
1796,caja_chucuito,5,TePaske_Peru
1796,caja_arequipa,254,TePaske_Peru
1796,caja_arica,3,TePaske_Peru
1806,caja_lima,2392,TePaske_Peru
1806,caja_trujillo,3719,TePaske_Peru
1806,caja_la-paz,4227,TePaske_Peru
1806,caja_potosi,1160,TePaske_Peru
1806,caja_arequipa,80,TePaske_Peru
1806,caja_puno,169,TePaske_Peru
1536,new-granada,2264,TePaske_SouthAmerica
1536,ecuador,257,TePaske_SouthAmerica
1546,new-granada,2089,TePaske_SouthAmerica
1546,ecuador,868,TePaske_SouthAmerica
1546,chile,3102,TePaske_SouthAmerica
1556,new-granada,5593,TePaske_SouthAmerica
1556,ecuador,2549,TePaske_SouthAmerica
1556,chile,4653,TePaske_SouthAmerica
1566,new-granada,7604,TePaske_SouthAmerica
1566,ecuador,3226,TePaske_SouthAmerica
1566,chile,159,TePaske_SouthAmerica
1576,new-granada,7977,TePaske_SouthAmerica
1576,ecuador,6143,TePaske_SouthAmerica
1576,chile,4873,TePaske_SouthAmerica
1586,new-granada,6728,TePaske_SouthAmerica
1586,ecuador,6442,TePaske_SouthAmerica
1586,chile,1551,TePaske_SouthAmerica
1596,new-granada,12541,TePaske_SouthAmerica
1596,ecuador,3486,TePaske_SouthAmerica
1596,chile,776,TePaske_SouthAmerica
1606,new-granada,13934,TePaske_SouthAmerica
1606,ecuador,2076,TePaske_SouthAmerica
1606,chile,155,TePaske_SouthAmerica
1616,new-granada,11153,TePaske_SouthAmerica
1616,ecuador,927,TePaske_SouthAmerica
1616,chile,71,TePaske_SouthAmerica
1626,new-granada,8951,TePaske_SouthAmerica
1626,ecuador,1985,TePaske_SouthAmerica
1626,chile,23,TePaske_SouthAmerica
1636,new-granada,3548,TePaske_SouthAmerica
1636,ecuador,635,TePaske_SouthAmerica
1636,chile,19,TePaske_SouthAmerica
1646,new-granada,7885,TePaske_SouthAmerica
1646,ecuador,131,TePaske_SouthAmerica
1656,new-granada,7540,TePaske_SouthAmerica
1656,ecuador,202,TePaske_SouthAmerica
1666,new-granada,4105,TePaske_SouthAmerica
1666,ecuador,233,TePaske_SouthAmerica
1676,new-granada,4406,TePaske_SouthAmerica
1676,ecuador,194,TePaske_SouthAmerica
1686,new-granada,6437,TePaske_SouthAmerica
1686,ecuador,194,TePaske_SouthAmerica
1696,new-granada,4950,TePaske_SouthAmerica
1696,ecuador,339,TePaske_SouthAmerica
1696,chile,60,TePaske_SouthAmerica
1696,brazil,4327,TePaske_SouthAmerica
1706,new-granada,5140,TePaske_SouthAmerica
1706,ecuador,291,TePaske_SouthAmerica
1706,chile,15,TePaske_SouthAmerica
1706,brazil,43270,TePaske_SouthAmerica
1716,new-granada,7499,TePaske_SouthAmerica
1716,ecuador,339,TePaske_SouthAmerica
1716,chile,188,TePaske_SouthAmerica
1716,brazil,46563,TePaske_SouthAmerica
1726,new-granada,8570,TePaske_SouthAmerica
1726,ecuador,144,TePaske_SouthAmerica
1726,chile,254,TePaske_SouthAmerica
1726,brazil,103315,TePaske_SouthAmerica
1736,new-granada,10210,TePaske_SouthAmerica
1736,ecuador,96,TePaske_SouthAmerica
1736,chile,426,TePaske_SouthAmerica
1736,brazil,137930,TePaske_SouthAmerica
1746,new-granada,14793,TePaske_SouthAmerica
1746,ecuador,48,TePaske_SouthAmerica
1746,chile,709,TePaske_SouthAmerica
1746,brazil,145430,TePaske_SouthAmerica
1756,new-granada,17759,TePaske_SouthAmerica
1756,ecuador,2012,TePaske_SouthAmerica
1756,chile,1108,TePaske_SouthAmerica
1756,brazil,111680,TePaske_SouthAmerica
1766,new-granada,20501,TePaske_SouthAmerica
1766,ecuador,1676,TePaske_SouthAmerica
1766,chile,6673,TePaske_SouthAmerica
1766,brazil,107930,TePaske_SouthAmerica
1776,new-granada,22681,TePaske_SouthAmerica
1776,ecuador,1789,TePaske_SouthAmerica
1776,chile,9134,TePaske_SouthAmerica
1776,brazil,107930,TePaske_SouthAmerica
1786,new-granada,27869,TePaske_SouthAmerica
1786,ecuador,4049,TePaske_SouthAmerica
1786,chile,9243,TePaske_SouthAmerica
1786,brazil,92930,TePaske_SouthAmerica
1796,new-granada,33130,TePaske_SouthAmerica
1796,ecuador,4846,TePaske_SouthAmerica
1796,chile,9137,TePaske_SouthAmerica
1796,brazil,70430,TePaske_SouthAmerica
1806,new-granada,34535,TePaske_SouthAmerica
1806,ecuador,914,TePaske_SouthAmerica
1806,chile,11560,TePaske_SouthAmerica
1806,brazil,37715,TePaske_SouthAmerica
