year,country,region,province,geographic_level,production_tonnes,source
1786,Peru,Viceroyalty of Peru,caja_lima,province,5904,TePaske
1786,Peru,Viceroyalty of Peru,caja_potosi,province,429,TePaske
1786,Peru,Viceroyalty of Peru,caja_trujillo,province,2325,TePaske
1786,Brazil,South America,NA,country,92930,TePaske
1786,Chile,South America,NA,region,9243,TePaske
1786,Ecuador,South America,NA,region,4049,TePaske
1786,New Granada,South America,NA,region,27869,TePaske
1796,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1796,Brazil,Colonial Brazil,minas_gerais,province,37500,TePaske
1796,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1796,Mexico,New Spain,caja_chihuahua,province,264,TePaske
1796,Mexico,New Spain,caja_durango,province,5428,TePaske
1796,Mexico,New Spain,caja_guadaljara,province,490,TePaske
1796,Mexico,New Spain,caja_guanajuato,province,2384,TePaske
1796,Mexico,New Spain,caja_mexico,province,2079,TePaske
1796,Mexico,New Spain,caja_pachuca,province,18,TePaske
1796,Mexico,New Spain,caja_rosario,province,4279,TePaske
1796,Mexico,New Spain,caja_san luis potosi,province,372,TePaske
1796,Mexico,New Spain,caja_zacatecas,province,48,TePaske
1796,Mexico,New Spain,caja_zimapan,province,60,TePaske
1796,Peru,Viceroyalty of Peru,caja_arequipa,province,254,TePaske
1796,Peru,Viceroyalty of Peru,caja_arica,province,3,TePaske
1796,Peru,Viceroyalty of Peru,caja_chucuito,province,5,TePaske
1796,Peru,Viceroyalty of Peru,caja_la-paz,province,3506,TePaske
1796,Peru,Viceroyalty of Peru,caja_lima,province,4611,TePaske
1796,Peru,Viceroyalty of Peru,caja_potosi,province,1674,TePaske
1796,Peru,Viceroyalty of Peru,caja_trujillo,province,5672,TePaske
1796,Brazil,South America,NA,country,70430,TePaske
1796,Chile,South America,NA,region,9137,TePaske
1796,Ecuador,South America,NA,region,4846,TePaske
1796,New Granada,South America,NA,region,33130,TePaske
1806,Brazil,Colonial Brazil,mato_grosso-goais,province,2378,TePaske
1806,Brazil,Colonial Brazil,minas_gerais,province,3750,TePaske
1806,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,915,TePaske
1806,Mexico,New Spain,caja_chihuahua,province,1417,TePaske
1806,Mexico,New Spain,caja_durango,province,9797,TePaske
1806,Mexico,New Spain,caja_guadaljara,province,357,TePaske
1806,Mexico,New Spain,caja_guanajuato,province,3727,TePaske
1806,Mexico,New Spain,caja_mexico,province,3340,TePaske
1806,Mexico,New Spain,caja_pachuca,province,27,TePaske
1806,Mexico,New Spain,caja_rosario,province,4849,TePaske
1806,Mexico,New Spain,caja_san luis potosi,province,264,TePaske
1806,Mexico,New Spain,caja_zacatecas,province,20,TePaske
1806,Mexico,New Spain,caja_zimapan,province,45,TePaske
1806,Peru,Viceroyalty of Peru,caja_arequipa,province,80,TePaske
1806,Peru,Viceroyalty of Peru,caja_la-paz,province,4227,TePaske
1806,Peru,Viceroyalty of Peru,caja_lima,province,2392,TePaske
1806,Peru,Viceroyalty of Peru,caja_potosi,province,1160,TePaske
1806,Peru,Viceroyalty of Peru,caja_puno,province,169,TePaske
1806,Peru,Viceroyalty of Peru,caja_trujillo,province,3719,TePaske
1806,Brazil,South America,NA,country,37715,TePaske
1806,Chile,South America,NA,region,11560,TePaske
1806,Ecuador,South America,NA,region,914,TePaske
1806,New Granada,South America,NA,region,34535,TePaske
